author,title,pub_date,item_uri,acq_date
"De La Roche, Mazo",Young Renny,1935,https://shakespeareandco.princeton.edu/books/de-la-roche-young-renny/,1935-12
"Glasgow, Ellen Anderson Gholson",Vein of Iron,1935,https://shakespeareandco.princeton.edu/books/glasgow-vein-iron/,1935-12
"Marrot, H. V.",The Life and Letters of John Galsworthy,1935,https://shakespeareandco.princeton.edu/books/marrot-life-letters-john/,1935-12
"Caldwell, Erskine",Some American People,1935,https://shakespeareandco.princeton.edu/books/caldwell-american-people/,1936-01
"Plomer, William",Sado,1931,https://shakespeareandco.princeton.edu/books/plomer-sado/,1936-01
"Plomer, William",I Speak of Africa,1927,,1936-01
"Bates, H. E.",Cut and Come Again: Fourteen Stories,1935,https://shakespeareandco.princeton.edu/books/bates-cut-come-fourteen/,1936-01
"Cronyn, George W.",Fortune and Men's Eyes,1935,https://shakespeareandco.princeton.edu/books/cronyn-fortune-mens-eyes/,1936-01
"Van Wyck, Mason F.",The Washington Legation Murders,1935,https://shakespeareandco.princeton.edu/books/mason-washington-legation-murders/,1936-01
"Odets, Clifford",Paradise Lost: A Play in Three Acts,1936,,1936-01
"Simpson, Helen",Saraband For Dead Lovers,1935,https://shakespeareandco.princeton.edu/books/simpson-saraband-dead-lovers/,1936-02
"Teilhet, Darwin",The Ticking Terror Murders,1935,https://shakespeareandco.princeton.edu/books/teilhet-ticking-terror-murders/,1936-02
"Wolfe, Thomas",From Death to Morning,1935,https://shakespeareandco.princeton.edu/books/wolfe-death-morning/,1936-02
"Houghton, Claude",Christina,1936,https://shakespeareandco.princeton.edu/books/oldfield-christina/,1936-02
"Lanham, Edwin",The Wind Blew West,1935,https://shakespeareandco.princeton.edu/books/lanham-wind-blew-west/,1936-02
"Masters, Edgar Lee",Vachel Lindsay: A Poet in America,1935,,1936-02
,American Philosophy Today and Tomorrow,1935,,1936-02
"Vanderbilt, Cornelius",Farewell to Fifth Avenue,1935,https://shakespeareandco.princeton.edu/books/vanderbilt-farewell-fifth-avenue/,1936-02
"Gibbs, Philip",Blood Relations,1935,https://shakespeareandco.princeton.edu/books/gibbs-blood-relations/,1936-02
"Crofts, Freeman Wills",Loss of Jane Vosper,1936,https://shakespeareandco.princeton.edu/books/crofts-loss-jane-vosper/,1936-02
"Pratt, Fletcher","Detective No. 1: Case HIstories of Ellis Parker, American Detective",1936,https://shakespeareandco.princeton.edu/books/fletcher-detective-1-case/,1936-02
"Christie, Agatha",The ABC Murders,1936,https://shakespeareandco.princeton.edu/books/christie-abc-murders/,1936-02
"Bentley, Phyllis","Freedom, Farwell!",1936,https://shakespeareandco.princeton.edu/books/bentley-freedom-farewell/,1936-02
"Golding, Louis",The Pursuer,1936,https://shakespeareandco.princeton.edu/books/golding-pursuer/,1936-02
"Fabricius, Johan",The Son of Marietta,1936,,1936-02
"Day, Clarence",Life With Father,1935,https://shakespeareandco.princeton.edu/books/day-life-father/,1936-03
"Du Maurier, Daphne",Gerald: A Portrait,1935,https://shakespeareandco.princeton.edu/books/du-maurier-gerald-portrait/,1936-03
"Bates, Ralph",The Olive Field,1936,https://shakespeareandco.princeton.edu/books/bates-olive-field/,1936-03
"Gunther, John",Inside Europe,1936,https://shakespeareandco.princeton.edu/books/gunther-inside-europe/,1936-03
"Strong, Anna Louisse",China's Millions,1928,https://shakespeareandco.princeton.edu/books/strong-chinas-millions/,1936-03
"Eliot, T. S.",Essays: Ancient and Modern,1936,https://shakespeareandco.princeton.edu/books/eliot-essays-ancient-modern/,1936-03
"Holtby, Winfred",South Riding,1936,https://shakespeareandco.princeton.edu/books/holtby-south-riding-english/,1936-03
"Hayes, Carleton J. H. ",A Political and Cultural History of Modern Europe Vol (2),1932,https://shakespeareandco.princeton.edu/books/hayes-political-cultural-history/,1936-03
"Murry, John Middleton",Shakespeare,1936,https://shakespeareandco.princeton.edu/books/murry-shakespeare/,1936-03
"Shaw, George Bernard","The Simpleton, The six and the Millionairess",1936,https://shakespeareandco.princeton.edu/books/shaw-simpleton-six-millionairess/,1936-03
"Maugham, W. Somerset",Cosmopolitans,1936,https://shakespeareandco.princeton.edu/books/maugham-cosmopolitans/,1936-03
"Stern, G. B. ",Monogram,1936,https://shakespeareandco.princeton.edu/books/stern-monogram/,1936-03
,A Century of Detective Stories,1936,https://shakespeareandco.princeton.edu/books/chesterton-century-detective-stories/,1936-03
,A Century of Love Stories,1935,https://shakespeareandco.princeton.edu/books/frankau-century-love-stories/,1936-03
,A Century of Humour,1934,https://shakespeareandco.princeton.edu/books/wodehouse-century-humour/,1936-03
